,index,order_id,cust_id,gender,age,date,status,retail_supplier,sku,category,size,qty,currency,amount,ship-city,ship-state,ship-postal-code,ship-country,b2b
12,13,408-0265357-4939534,265357,W,18,2022-04-12,Delivered,Amazon,SET217-KR-PP-XL,set,XL,1,INR,786,GUWAHATI,ASSAM,781017,IN,False
13,14,403-9268874-7296313,9268874,M,44,2022-04-12,Delivered,Myntra,SET185-KR-NP-M,set,M,1,INR,911,BENGALURU,KARNATAKA,562125,IN,False
14,15,407-0442660-2736366,442660,W,52,2022-04-12,Delivered,Amazon,SET333-KR-DPT-M,set,M,1,INR,967,HYDERABAD,TELANGANA,500098,IN,False
15,16,406-7482261-1657136,7482261,W,18,2022-04-12,Delivered,Nalli,J0124-TP-L,top,L,1,INR,523,NEW DELHI,DELHI,110062,IN,False
16,17,407-7039962-7080347,7039962,M,30,2022-04-12,Delivered,Meesho,SET304-KR-DPT-XL,set,XL,1,INR,1115,Bhubaneswar,ODISHA,751022,IN,False
17,18,407-3422488-7373923,3422488,W,48,2022-04-12,Delivered,Others,SET184-KR-PP-XS,set,XS,1,INR,563,SIROHI,RAJASTHAN,307001,IN,False
18,19,171-8974687-6745940,8974687,M,24,2022-04-12,Delivered,Myntra,J0161-DR-XXL,western dress,XXL,1,INR,473,MUMBAI,MAHARASHTRA,400097,IN,False
19,20,406-0244536-2177175,244536,W,46,2022-04-12,Delivered,Amazon,SET233-KR-PP-M,set,M,1,INR,545,AMRITSAR,PUNJAB,143001,IN,False
20,21,404-4376789-3345166,4376789,W,43,2022-04-12,Delivered,Nalli,J0231-SKD-XXXL,set,3XL,1,INR,1164,LUCKNOW,UTTAR PRADESH,226024,IN,False
21,22,408-1943310-9789160,1943310,M,31,2022-04-12,Refunded,Myntra,J0339-DR-XXL,western dress,XXL,1,INR,743,NEW DELHI,DELHI,110087,IN,False
22,23,403-0950590-5005155,950590,M,30,2022-04-12,Delivered,Myntra,SET210-KR-PP-XXXL,set,3XL,1,INR,575,MADURAI,TAMIL NADU,625014,IN,False
23,24,406-3935670-5720350,3935670,W,19,2022-04-12,Delivered,Ajio,SET110-KR-PP-XS,set,XS,1,INR,788,Meerut,UTTAR PRADESH,250002,IN,False
24,25,402-0398999-0011565,398999,W,37,2022-04-12,Delivered,Amazon,SET273-KR-NP-M,set,M,1,INR,612,HYDERABAD,TELANGANA,500060,IN,False
25,26,403-5438780-7231546,5438780,W,37,2022-04-12,Delivered,Others,MEN5025-KR-XXL,kurta,XXL,1,INR,533,INDORE,MADHYA PRADESH,452014,IN,False
26,27,406-8343960-8137102,8343960,W,62,2022-04-12,Delivered,Flipkart,JNE3690-TU-XL,top,XL,1,INR,484,DAVANAGERE,KARNATAKA,577004,IN,False
27,28,406-0986513-0498758,986513,M,20,2022-04-12,Delivered,Flipkart,SET184-KR-PP-XXXL,set,3XL,1,INR,563,RUDRAPUR,UTTARAKHAND,263153,IN,False
28,29,406-0947452-6044339,947452,M,77,2022-04-12,Delivered,Flipkart,JNE3797-KR-XXL,western dress,XXL,1,INR,735,CHENNAI,TAMIL NADU,600103,IN,False
29,30,406-1326018-3426760,1326018,M,26,2022-04-12,Delivered,Amazon,SET183-KR-DH-XS,set,XS,1,INR,759,PRAYAGRAJ,UTTAR PRADESH,230304,IN,False
30,31,406-9281717-2212317,9281717,M,40,2022-04-12,Delivered,Amazon,JNE3797-KR-XXL,western dress,XXL,1,INR,715,GREAT NICOBAR,ANDAMAN & NICOBAR ,744302,IN,False
31,32,408-6866119-6793128,6866119,M,52,2022-04-12,Delivered,Amazon,J0414-DR-XXL,western dress,XXL,1,INR,885,AHMEDABAD,GUJARAT,380058,IN,False
32,33,403-9400852-1350710,9400852,W,38,2022-04-12,Delivered,Others,JNE3601-KR-M,kurta,M,1,INR,301,SALEM,TAMIL NADU,636007,IN,False
33,34,408-2606836-0473931,2606836,M,39,2022-04-12,Delivered,Myntra,J0231-SKD-XL,set,XL,1,INR,1238,GUWAHATI,ASSAM,781020,IN,False
34,35,405-8481179-1130753,8481179,M,37,2022-04-12,Delivered,Amazon,SET320-KR-NP-S,set,S,1,INR,856,CHENNAI,TAMIL NADU,600119,IN,False
35,36,406-9686095-5057139,9686095,W,73,2022-04-12,Delivered,Flipkart,J0351-SET-L,set,L,1,INR,650,VADODARA,GUJARAT,390021,IN,False
36,37,404-9033015-7527503,9033015,W,41,2022-04-12,Delivered,Amazon,JNE3368-KR-XL,kurta,XL,1,INR,449,Payyannur,KERALA,670309,IN,False
37,38,402-6932218-7744338,6932218,W,41,2022-04-12,Delivered,Myntra,SET333-KR-DPT-XS,set,XS,1,INR,967,CHANDIGARH,CHANDIGARH,160036,IN,False
38,39,408-8796291-5026713,8796291,W,35,2022-04-12,Delivered,Amazon,JNE3423-KR-XL,kurta,XL,1,INR,399,GURUGRAM,HARYANA,122001,IN,False
39,40,407-9654105-3225150,9654105,W,72,2022-04-12,Delivered,Flipkart,J0230-SKD-M,set,M,1,INR,969,MOHALI,PUNJAB,160062,IN,False
40,41,402-0637532-2672317,637532,M,39,2022-04-12,Delivered,Flipkart,J0159-DR-L,western dress,L,1,INR,599,BENGALURU,KARNATAKA,560061,IN,False
41,42,402-0637532-2672317,637532,W,39,2022-04-12,Delivered,Amazon,J0334-TP-S,top,S,1,INR,545,PUNE,MAHARASHTRA,411051,IN,False
42,43,404-3393819-5081930,3393819,W,44,2022-04-12,Delivered,Myntra,SET397-KR-NP-XS,set,XS,1,INR,1115,PUNE,MAHARASHTRA,412207,IN,False
43,44,406-5673590-1054739,5673590,W,22,2022-04-12,Delivered,Meesho,SET389-KR-NP-XL,set,XL,1,INR,648,SONIPAT,HARYANA,131001,IN,False
44,45,403-5846829-5098742,5846829,W,64,2022-04-12,Delivered,Flipkart,J0248-KR-DPT-S,set,S,1,INR,999,NELLORE,ANDHRA PRADESH,524002,IN,False
45,46,171-4087298-3807569,4087298,W,30,2022-04-12,Delivered,Amazon,NW001-TP-PJ-XXL,set,XXL,1,INR,563,TIRUCHIRAPPALLI,TAMIL NADU,620101,IN,False
46,47,408-7694743-7590732,7694743,W,46,2022-04-12,Delivered,Myntra,J0092-SET-S,set,S,1,INR,833,BENGALURU,KARNATAKA,562107,IN,False
47,48,406-8068610-1108329,8068610,W,48,2022-04-12,Delivered,Nalli,JNE3770-KR-S,kurta,S,1,INR,487,PUNE,MAHARASHTRA,411014,IN,False
48,49,171-7917674-9759550,7917674,W,25,2022-04-12,Delivered,Myntra,JNE3703-KR-M,kurta,M,1,INR,292,VARANASI,UTTAR PRADESH,221010,IN,False
49,50,406-2709798-4585159,2709798,M,35,2022-04-12,Delivered,Others,SET210-KR-PP-M,set,M,1,INR,558,UDUPI,KARNATAKA,574118,IN,False
50,51,405-4213846-6141157,4213846,W,27,2022-04-12,Delivered,Amazon,J0003-SET-M,set,M,1,INR,664,HYDERABAD,TELANGANA,500039,IN,False
51,52,407-7381557-9088310,7381557,W,21,2022-04-12,Delivered,Others,J0230-SKD-M,set,M,1,INR,1112,Allahabad,UTTAR PRADESH,211001,IN,False
52,53,403-0817885-3061963,817885,W,43,2022-04-12,Delivered,Others,J0113-TP-S,top,S,1,INR,540,SOUTH DELHI,DELHI,110017,IN,False
53,54,171-2439278-5433152,2439278,M,39,2022-04-12,Delivered,Myntra,SET268-KR-NP-XS,set,XS,1,INR,698,KHALILABAD,UTTAR PRADESH,272175,IN,False
54,55,405-8874360-4913961,8874360,M,23,2022-04-12,Delivered,Others,J0004-SKD-XXL,set,XXL,1,INR,1115,NEW DELHI,DELHI,110016,IN,False
55,56,408-4675134-5301129,4675134,W,58,2022-04-12,Delivered,Meesho,SET209-KR-PP-XXL,set,XXL,1,INR,507,HYDERABAD,TELANGANA,500008,IN,False
56,57,402-9907523-6175562,9907523,M,27,2022-04-12,Delivered,Amazon,SET343-KR-NP-XS,set,XS,1,INR,916,SULTANPUR,UTTAR PRADESH,228001,IN,False
57,58,402-9907523-6175562,9907523,W,38,2022-04-12,Delivered,Amazon,SAR008,saree,Free,1,INR,737,MURWARA KATNI,MADHYA PRADESH,483501,IN,False
58,59,407-7643005-7856329,7643005,M,75,2022-04-12,Delivered,Flipkart,SET402-KR-NP-XXXL,set,3XL,1,INR,988,MUMBAI,MAHARASHTRA,400063,IN,False
59,60,407-0381223-7065145,381223,M,47,2022-04-12,Delivered,Meesho,J0095-SET-XL,set,XL,1,INR,633,CHENNAI,TAMIL NADU,600066,IN,False
60,61,407-8538186-6616316,8538186,W,62,2022-04-12,Delivered,Amazon,SET348-KR-NP-M,set,M,1,INR,899,MAHENDRAGARH,HARYANA,123029,IN,False
61,62,403-1785530-0119510,1785530,W,42,2022-04-12,Delivered,Amazon,PJNE2100-KR-N-6XL,kurta,6XL,1,INR,764,BENGALURU,KARNATAKA,560103,IN,False
62,63,403-0824767-1871567,824767,W,34,2022-04-12,Delivered,Others,MEN5004-KR-XXXL,kurta,3XL,1,INR,688,CHENNAI,TAMIL NADU,600061,IN,False
63,64,404-8169153-4411563,8169153,W,20,2022-04-12,Delivered,Amazon,JNE3567-KR-L,kurta,L,1,INR,399,Bangalore,KARNATAKA,560054,IN,False
64,65,406-5169174-3536336,5169174,W,44,2022-04-12,Cancelled,Myntra,JNE3568-KR-XL,kurta,XL,1,INR,399,KALYAN,MAHARASHTRA,421306,IN,False
65,66,402-2130722-4734768,2130722,W,24,2022-04-12,Delivered,Myntra,J0090-TP-S,top,S,1,INR,563,AHMEDABAD,GUJARAT,382470,IN,False
66,67,404-8399604-8880365,8399604,W,31,2022-04-12,Delivered,Amazon,JNE3461-KR-XL,kurta,XL,1,INR,363,KOLKATA,WEST BENGAL,700028,IN,False
67,68,403-8213196-3804353,8213196,M,75,2022-04-12,Delivered,Myntra,SET218-KR-NP-S,set,S,1,INR,667,BOKARO STEEL CITY,JHARKHAND,827001,IN,False
68,69,408-3286680-0659521,3286680,W,46,2022-04-12,Delivered,Myntra,SAR006,saree,Free,1,INR,685,Panchkula,HARYANA,134116,IN,False
69,70,403-6014983-8111514,6014983,M,48,2022-04-12,Delivered,Myntra,SET272-KR-PP-S,set,S,1,INR,852,PUNE,MAHARASHTRA,411021,IN,False
70,71,403-6950860-5590722,6950860,W,26,2022-04-12,Delivered,Amazon,SAR018,saree,Free,1,INR,1075,PATNA,BIHAR,801113,IN,False
71,72,406-7030051-2742704,7030051,W,36,2022-04-12,Delivered,Myntra,J0094-KR-XXL,kurta,XXL,1,INR,563,NEW DELHI,DELHI,110084,IN,False
72,73,404-6041386-2803516,6041386,M,23,2022-04-12,Delivered,Flipkart,J0283-SET-XXL,set,XXL,1,INR,1072,KALYAN,MAHARASHTRA,421201,IN,False
73,74,404-7958450-6860328,7958450,M,32,2022-04-12,Delivered,Amazon,SET339-KR-NP-XS,set,XS,1,INR,702,Bengaluru,KARNATAKA,560095,IN,False
74,75,408-7814128-2203552,7814128,W,26,2022-04-12,Delivered,Nalli,SAR003,saree,Free,1,INR,476,NAVI MUMBAI,MAHARASHTRA,400705,IN,False
75,76,403-9793483-6877106,9793483,M,45,2022-04-12,Delivered,Myntra,SET324-KR-NP-XL,set,XL,1,INR,597,BENGALURU,KARNATAKA,560021,IN,False
76,77,402-5297818-3665137,5297818,W,49,2022-04-12,Delivered,Flipkart,SET403-KR-NP-XL,set,XL,1,INR,969,VARKALA,KERALA,695141,IN,False
77,78,171-2070545-3786767,2070545,W,21,2022-04-12,Delivered,Flipkart,J0349-SET-XS,set,XS,1,INR,801,BIKANER,RAJASTHAN,334001,IN,False
78,79,406-1756314-4546723,1756314,W,39,2022-04-12,Delivered,Myntra,JNE3560-KR-XL,kurta,XL,1,INR,481,GURUGRAM,HARYANA,122001,IN,False
79,80,404-8786932-9447520,8786932,M,55,2022-04-12,Delivered,Ajio,NW034-TP-PJ-M,set,M,1,INR,595,BHARUCH,GUJARAT,392001,IN,False
80,81,408-8573929-1921943,8573929,W,30,2022-04-12,Delivered,Flipkart,JNE3518-KR-XXL,kurta,XXL,1,INR,458,MUMBAI,MAHARASHTRA,400097,IN,False
81,82,408-8573929-1921943,8573929,W,46,2022-04-12,Delivered,Amazon,JNE3160-KR-M,kurta,M,1,INR,729,kolkata,WEST BENGAL,700082,IN,False
82,83,407-8980704-1408352,8980704,W,59,2022-04-12,Cancelled,Myntra,JNE3487-KR-M,kurta,M,1,INR,345,NOIDA,UTTAR PRADESH,201304,IN,False
83,84,171-2516658-6849136,2516658,W,55,2022-04-12,Delivered,Flipkart,JNE3560-KR-M,kurta,M,1,INR,481,CHENNAI,TAMIL NADU,600077,IN,False
84,85,404-0105497-2446747,105497,W,37,2022-04-12,Refunded,Amazon,JNE3373-KR-S,kurta,S,1,INR,382,BHANDARA,MAHARASHTRA,441701,IN,False
85,86,406-6468339-1490707,6468339,M,19,2022-04-12,Delivered,Amazon,SET377-KR-NP-XS,set,XS,1,INR,1036,MUMBAI,MAHARASHTRA,400093,IN,False
86,87,402-6702100-7257107,6702100,W,49,2022-04-12,Returned,Myntra,JNE3620-KR-S,kurta,S,1,INR,322,NEW DELHI,DELHI,110084,IN,False
87,88,404-6243782-8199521,6243782,W,33,2022-04-12,Delivered,Amazon,JNE3822-KR-L,kurta,L,1,INR,449,BHATKAL,KARNATAKA,581320,IN,False
88,89,403-3641651-0348348,3641651,M,22,2022-04-12,Delivered,Amazon,SET184-KR-PP-L,set,L,1,INR,573,MUMBAI,MAHARASHTRA,400098,IN,False
89,90,402-7662369-2719545,7662369,W,18,2022-04-12,Delivered,Myntra,SET366-KR-NP-S,set,S,1,INR,1163,RANCHI,JHARKHAND,834008,IN,False
90,91,403-8575376-3341124,8575376,W,32,2022-04-12,Delivered,Flipkart,SET253-KR-NP-L,set,L,1,INR,737,HYDERABAD,TELANGANA,500020,IN,False
91,92,403-7384618-1017125,7384618,W,48,2022-04-12,Delivered,Flipkart,SET203-KR-DPT-L,set,L,1,INR,429,CHENNAI,TAMIL NADU,600051,IN,False
92,93,403-7384618-1017125,7384618,W,36,2022-04-12,Delivered,Myntra,JNE3368-KR-XL,kurta,XL,1,INR,471,VISAKHAPATNAM,ANDHRA PRADESH,530003,IN,False
93,94,403-3542194-2527546,3542194,W,20,2022-04-12,Delivered,Amazon,SAR028,saree,Free,1,INR,307,Perambra,KERALA,673524,IN,False
94,95,405-6859790-7125127,6859790,W,48,2022-04-12,Delivered,Meesho,SET024-KR-SP-A-M,kurta,M,1,INR,631,GURUGRAM,HARYANA,122002,IN,False
95,96,403-0347306-1283554,347306,W,66,2022-04-12,Delivered,Amazon,JNE3794-KR-M,kurta,M,1,INR,517,HYDERABAD,TELANGANA,500090,IN,False
96,97,406-7048232-6973930,7048232,W,60,2022-04-12,Delivered,Myntra,JNE3781-KR-S,kurta,S,1,INR,427,HAMIRPUR,HIMACHAL PRADESH,177005,IN,False
97,98,404-5516090-4385135,5516090,M,47,2022-04-12,Delivered,Others,J0338-DR-S,western dress,S,1,INR,855,Nayagarh,ODISHA,752069,IN,False
98,99,403-0294848-6612317,294848,W,19,2022-04-12,Delivered,Flipkart,JNE3365-KR-1052-A-XXL,kurta,XXL,1,INR,376,BENGALURU,KARNATAKA,560075,IN,False
99,100,408-6522716-9753142,6522716,M,48,2022-04-12,Delivered,Amazon,JNE3805-KR-L,kurta,L,1,INR,487,BENGALURU,KARNATAKA,562125,IN,False
100,101,408-6522716-9753142,6522716,M,78,2022-04-12,Delivered,Myntra,SET319-KR-NP-M,set,M,1,INR,852,NEW DELHI,DELHI,110034,IN,False
101,102,408-3094141-6564325,3094141,W,40,2022-04-12,Delivered,Amazon,JNE3466-KR-XXL,kurta,XXL,1,INR,771,TIRUCHIRAPPALLI,TAMIL NADU,620017,IN,False
102,103,405-8966819-1579535,8966819,W,38,2022-04-12,Delivered,Flipkart,JNE3805-KR-M,kurta,M,1,INR,487,PUDUVAYAL,TAMIL NADU,630108,IN,False
103,104,404-2716293-0209115,2716293,W,21,2022-04-12,Delivered,Amazon,MEN5019-KR-XL,kurta,XL,1,INR,472,HYDERABAD,TELANGANA,500045,IN,False
104,105,403-9848998-6793100,9848998,W,38,2022-04-12,Delivered,Amazon,SAR015,saree,Free,1,INR,790,UDAIPUR,RAJASTHAN,313001,IN,False
105,106,171-6592212-4665122,6592212,W,25,2022-04-12,Delivered,Amazon,JNE3794-KR-XS,kurta,XS,1,INR,517,PUDUCHERRY,PUDUCHERRY,605004,IN,False
106,107,404-5467416-2849910,5467416,W,35,2022-04-12,Delivered,Flipkart,SET135-KR-PP-XXXL,set,3XL,1,INR,646,GREATER NOIDA,UTTAR PRADESH,201310,IN,False
107,108,408-1265802-4542716,1265802,W,23,2022-04-12,Delivered,Amazon,J0338-DR-XL,western dress,XL,1,INR,743,SECUNDERABAD,TELANGANA,500011,IN,False
108,109,171-9585512-1214755,9585512,W,61,2022-04-12,Delivered,Myntra,JNE2251-KR-537-XXL,kurta,XXL,1,INR,399,new delhi,DELHI,110063,IN,False
109,110,405-6513430-0509918,6513430,W,40,2022-04-12,Delivered,Flipkart,SET272-KR-PP-M,set,M,1,INR,852,GREATER NOIDA,UTTAR PRADESH,201306,IN,False
110,111,406-7694216-8034754,7694216,M,32,2022-04-12,Delivered,Flipkart,SET197-KR-NP-M,set,M,1,INR,759,MYSURU,KARNATAKA,570034,IN,False
111,112,408-5911668-5550717,5911668,W,31,2022-04-12,Delivered,Nalli,J0301-TP-XL,top,XL,1,INR,493,NEW DELHI,DELHI,110059,IN,False
112,113,404-5364170-6523532,5364170,W,29,2022-04-12,Delivered,Amazon,JNE3518-KR-XXL,kurta,XXL,1,INR,458,JAIPUR,RAJASTHAN,303002,IN,False
113,114,405-3614770-5449966,3614770,W,27,2022-04-12,Delivered,Amazon,JNE3405-KR-M,kurta,M,1,INR,435,BIDAR,KARNATAKA,585401,IN,False
114,115,404-1246579-1197122,1246579,W,48,2022-04-12,Delivered,Amazon,SET251-KR-PP-XS,set,XS,1,INR,759,BABUGARH,UTTAR PRADESH,245201,IN,False
115,116,406-6695683-9996343,6695683,M,30,2022-04-12,Cancelled,Myntra,SET282-KR-PP-L,set,L,1,INR,1043,THANE,MAHARASHTRA,400606,IN,False
116,117,404-1994186-3865941,1994186,M,71,2022-04-12,Delivered,Myntra,SET268-KR-NP-M,set,M,1,INR,698,UDAIPUR,RAJASTHAN,313001,IN,False
117,118,404-0172471-1609129,172471,W,41,2022-04-12,Delivered,Flipkart,JNE3648-TP-N-S,top,S,1,INR,518,DOHAD,GUJARAT,389151,IN,False
118,119,406-0681598-4591519,681598,M,28,2022-04-12,Delivered,Myntra,J0308-DR-XXL,western dress,XXL,1,INR,625,Barasat,WEST BENGAL,700124,IN,False
119,120,407-1388772-0703516,1388772,W,19,2022-04-12,Delivered,Flipkart,MEN5026-KR-XXXL,kurta,3XL,1,INR,499,INDORE,MADHYA PRADESH,452001,IN,False
120,121,408-3131740-5067529,3131740,W,25,2022-04-12,Delivered,Myntra,JNE3642-TP-XS,top,XS,1,INR,321,MUMBAI,MAHARASHTRA,400053,IN,False
121,122,402-5496750-0331528,5496750,W,57,2022-04-12,Delivered,Nalli,SET229-KR-PP-XS,set,XS,1,INR,845,NAGAUR,RAJASTHAN,341305,IN,False
122,123,402-5496750-0331528,5496750,W,73,2022-04-12,Delivered,Amazon,J0132-KR-XS,kurta,XS,1,INR,358,NEW DELHI,DELHI,110085,IN,False
123,124,403-0816846-6852364,816846,W,50,2022-04-12,Delivered,Flipkart,JNE1234-MULTI-KR-032-XL,kurta,XL,1,INR,307,Coimbatore,TAMIL NADU,641031,IN,False
124,125,408-0278400-0572330,278400,W,31,2022-04-12,Delivered,Ajio,PJNE3068-KR-6XL,kurta,6XL,1,INR,692,NAVI MUMBAI,MAHARASHTRA,400701,IN,False
125,126,403-8079606-6799503,8079606,M,33,2022-04-12,Delivered,Ajio,SET313-KR-NP-XS,set,XS,1,INR,1099,NEW DELHI,DELHI,110003,IN,False
126,127,171-4636514-5082740,4636514,W,31,2022-04-12,Delivered,Myntra,SET282-KR-PP-M,set,M,1,INR,1033,BARASAT,WEST BENGAL,700124,IN,False
127,128,406-9847734-4402766,9847734,W,44,2022-04-12,Delivered,Myntra,JNE1525-KR-UDF19BLACK-XS,kurta,XS,1,INR,301,COIMBATORE,TAMIL NADU,641027,IN,False
128,129,403-8860022-0290733,8860022,W,26,2022-04-12,Delivered,Myntra,JNE3691-TU-L,top,L,1,INR,625,RANCHI,JHARKHAND,834002,IN,False
129,130,408-1669205-3638714,1669205,W,25,2022-04-12,Delivered,Myntra,JNE3399-KR-M,kurta,M,1,INR,435,SANGAREDDY,TELANGANA,502001,IN,False
130,131,406-6737238-3993139,6737238,W,49,2022-04-12,Delivered,Amazon,JNE3790-KR-XXXL,kurta,3XL,1,INR,307,PUNE,MAHARASHTRA,411041,IN,False
131,132,402-9605076-2885164,9605076,M,59,2022-04-12,Delivered,Amazon,SET268-KR-NP-L,set,L,1,INR,788,Buxar,BIHAR,802133,IN,False
132,133,406-9542566-5579564,9542566,W,21,2022-04-12,Delivered,Amazon,SET393-KR-NP-M,set,M,1,INR,999,KANJIKODE INDUSTRIAL AREA,KERALA,678623,IN,False
133,134,408-1540604-8952365,1540604,W,31,2022-04-12,Delivered,Amazon,J0329-KR-XS,kurta,XS,1,INR,852,HYDERABAD,TELANGANA,508126,IN,False
134,135,405-9367631-7902714,9367631,W,34,2022-04-12,Delivered,Amazon,SET397-KR-NP  -M,set,M,1,INR,999,ALLAHABAD,UTTAR PRADESH,211002,IN,False
135,136,403-0595996-9383507,595996,M,72,2022-04-12,Delivered,Amazon,J0008-SKD-M,set,M,1,INR,1075,DIU,DADRA AND NAGAR,362520,IN,False
136,137,407-8256896-7645127,8256896,M,22,2022-04-12,Delivered,Amazon,SET320-KR-NP-S,set,S,1,INR,845,PATNA,BIHAR,801505,IN,False
137,138,407-1064158-5677135,1064158,M,35,2022-04-12,Delivered,Myntra,J0003-SET-S,set,S,1,INR,664,Yacharam,TELANGANA,501509,IN,False
138,139,407-2727693-8699567,2727693,W,31,2022-04-12,Delivered,Flipkart,SET304-KR-DPT-M,set,M,1,INR,1186,Kannur,KERALA,670304,IN,False
139,140,171-6844452-3288337,6844452,M,34,2022-04-12,Returned,Meesho,J0382-SKD-XXL,set,XXL,1,INR,1258,Port blair,ANDAMAN & NICOBAR ,744103,IN,False
140,141,171-6908439-1987505,6908439,W,46,2022-04-12,Refunded,Amazon,JNE3405-KR-XXL,kurta,XXL,1,INR,399,MUZAFFARNAGAR,UTTAR PRADESH,251001,IN,False
141,142,406-9626742-4153157,9626742,M,63,2022-04-12,Delivered,Amazon,JNE3797-KR-A-M,western dress,M,1,INR,771,MANMAD,MAHARASHTRA,423104,IN,False
142,143,403-9383537-0791567,9383537,W,33,2022-04-12,Delivered,Amazon,JNE3611-KR-XXL,kurta,XXL,1,INR,459,SURYAPET,TELANGANA,508213,IN,False
143,144,403-6048785-9857964,6048785,W,58,2022-04-12,Delivered,Amazon,JNE3546-KR-L,kurta,L,1,INR,468,BENGALURU,KARNATAKA,560100,IN,False
144,145,402-1040945-8225167,1040945,W,27,2022-04-12,Delivered,Flipkart,MEN5007-KR-L,kurta,L,1,INR,475,PIMPRI CHINCHWAD,MAHARASHTRA,411033,IN,False
145,146,171-8224545-5941925,8224545,M,24,2022-04-12,Delivered,Flipkart,SET333-KR-DPT-M,set,M,1,INR,967,Kollam,KERALA,691601,IN,False
146,147,405-8391201-0161964,8391201,M,45,2022-04-12,Delivered,Flipkart,JNE3860-DR-L,western dress,L,1,INR,614,BENGALURU,KARNATAKA,560099,IN,False
147,148,406-2036568-3507558,2036568,W,22,2022-04-12,Delivered,Amazon,SET268-KR-NP-L,set,L,1,INR,788,Vadodara,GUJARAT,390024,IN,False
148,149,407-0131231-1980322,131231,W,42,2022-04-12,Returned,Nalli,J0382-SKD-XS,set,XS,1,INR,1173,BENGALURU,KARNATAKA,560004,IN,False
149,150,407-0131231-1980322,131231,W,18,2022-04-12,Returned,Amazon,J0112-TP-M,top,M,1,INR,359,lucknow,UTTAR PRADESH,226010,IN,False
150,151,402-5387048-4695525,5387048,W,55,2022-04-12,Delivered,Nalli,J0201-TP-S,top,S,1,INR,625,SECUNDERABAD,TELANGANA,500017,IN,False
151,152,402-4700322-7377926,4700322,W,25,2022-04-12,Returned,Amazon,SET377-KR-NP-S,set,S,1,INR,1238,JAIPUR,RAJASTHAN,302017,IN,False
152,153,405-4774074-9942741,4774074,M,30,2022-04-12,Delivered,Amazon,SET321-KR-DPT-XXL,set,XXL,1,INR,927,LUCKNOW,UTTAR PRADESH,226021,IN,False
153,154,408-4236224-6705913,4236224,W,46,2022-04-12,Delivered,Amazon,JNE3510-KR-XL,kurta,XL,1,INR,424,GURUGRAM,HARYANA,122001,IN,False
154,155,402-9698056-3215551,9698056,M,27,2022-04-12,Delivered,Myntra,J0333-DR-L,western dress,L,1,INR,825,BENGALURU,KARNATAKA,560067,IN,False
155,156,404-1092399-0229128,1092399,W,46,2022-04-12,Returned,Amazon,SET328-KR-NP-L,set,L,1,INR,545,BENGALURU,KARNATAKA,560037,IN,False
156,157,408-1867708-9856317,1867708,M,20,2022-04-12,Delivered,Amazon,J0134-SET-XL,set,XL,1,INR,729,PUNE,MAHARASHTRA,412207,IN,False
157,158,402-7163849-6357160,7163849,W,26,2022-04-12,Returned,Myntra,J0088-TP-S,top,S,1,INR,497,ERNAKULAM,KERALA,682017,IN,False
